pit: -1.48, rol: 2.16, yaw: -3.74, acc_x: -554, acc_y: 112, acc_z: 17326, gyr_x: 114, gyr_y: 116, gyr_z: -71, temp: 1324
pit: -2.60, rol: 2.40, yaw: -4.65, acc_x: 586, acc_y: 2626, acc_z: 13290, gyr_x: -149, gyr_y: 192, gyr_z: 181, temp: 1325
pit: -1.84, rol: 0.89, yaw: -4.36, acc_x: 754, acc_y: 1590, acc_z: 15490, gyr_x: -25, gyr_y: -99, gyr_z: -102, temp: 1322
pit: -2.44, rol: 1.53, yaw: -5.01, acc_x: 218, acc_y: 2432, acc_z: 12878, gyr_x: 110, gyr_y: -22, gyr_z: 31, temp: 1323
pit: -2.65, rol: 1.85, yaw: -4.61, acc_x: 1764, acc_y: 3538, acc_z: 14610, gyr_x: -41, gyr_y: 228, gyr_z: 81, temp: 1325
pit: -2.03, rol: 2.14, yaw: -4.39, acc_x: 1476, acc_y: 4252, acc_z: 15490, gyr_x: 240, gyr_y: -83, gyr_z: 92, temp: 1323
pit: -0.65, rol: 2.09, yaw: -4.26, acc_x: -1342, acc_y: 806, acc_z: 15860, gyr_x: 214, gyr_y: 96, gyr_z: 45, temp: 1326
pit: -1.59, rol: 2.34, yaw: -5.06, acc_x: -1200, acc_y: 2008, acc_z: 12196, gyr_x: -220, gyr_y: 260, gyr_z: 26, temp: 1325
pit: -1.05, rol: 1.17, yaw: -4.57, acc_x: 878, acc_y: 2428, acc_z: 12722, gyr_x: -136, gyr_y: -165, gyr_z: 60, temp: 1323
pit: -1.93, rol: 0.83, yaw: -5.39, acc_x: -676, acc_y: 3372, acc_z: 12754, gyr_x: -165, gyr_y: -33, gyr_z: -169, temp: 1325
pit: -0.96, rol: 0.62, yaw: -5.57, acc_x: -204, acc_y: 3132, acc_z: 15710, gyr_x: 111, gyr_y: -11, gyr_z: -44, temp: 1324
pit: -1.48, rol: 2.03, yaw: -6.26, acc_x: -236, acc_y: 3412, acc_z: 14870, gyr_x: 35, gyr_y: -73, gyr_z: -62, temp: 1322
pit: -1.85, rol: 2.59, yaw: -7.00, acc_x: -434, acc_y: 1472, acc_z: 17048, gyr_x: 72, gyr_y: 157, gyr_z: -154, temp: 1323
pit: -1.96, rol: 2.28, yaw: -8.15, acc_x: -982, acc_y: 3374, acc_z: 13968, gyr_x: -149, gyr_y: 250, gyr_z: 173, temp: 1321
pit: -0.87, rol: 0.77, yaw: -7.87, acc_x: 364, acc_y: 2070, acc_z: 13916, gyr_x: 106, gyr_y: -253, gyr_z: -143, temp: 1322
pit: -1.86, rol: 0.87, yaw: -8.71, acc_x: 880, acc_y: 2228, acc_z: 12696, gyr_x: 58, gyr_y: -160, gyr_z: -85, temp: 1323
pit: -2.48, rol: 0.84, yaw: -9.42, acc_x: 1448, acc_y: 3250, acc_z: 14140, gyr_x: -28, gyr_y: 175, gyr_z: 54, temp: 1322
pit: -1.95, rol: 1.16, yaw: -9.60, acc_x: -216, acc_y: 3976, acc_z: 14764, gyr_x: 213, gyr_y: -129, gyr_z: 151, temp: 1323
pit: -0.89, rol: 1.47, yaw: -8.30, acc_x: 42, acc_y: 316, acc_z: 16128, gyr_x: 91, gyr_y: 157, gyr_z: 216, temp: 1321
pit: -2.14, rol: 1.59, yaw: -8.92, acc_x: -1020, acc_y: 1572, acc_z: 13990, gyr_x: -231, gyr_y: 188, gyr_z: 43, temp: 1321
pit: -1.37, rol: 0.30, yaw: -8.86, acc_x: 476, acc_y: 1932, acc_z: 12758, gyr_x: -6, gyr_y: -296, gyr_z: -11, temp: 1318
pit: -2.26, rol: -0.34, yaw: -9.23, acc_x: 808, acc_y: 1858, acc_z: 13694, gyr_x: -112, gyr_y: -53, gyr_z: -61, temp: 1321
pit: -2.59, rol: -0.56, yaw: -10.27, acc_x: -514, acc_y: 2982, acc_z: 16190, gyr_x: 169, gyr_y: -236, gyr_z: -89, temp: 1320
pit: -3.55, rol: 0.64, yaw: -10.93, acc_x: -470, acc_y: 3908, acc_z: 14550, gyr_x: 136, gyr_y: -136, gyr_z: 104, temp: 1317
pit: -2.45, rol: 0.17, yaw: -10.55, acc_x: 1952, acc_y: 1126, acc_z: 16206, gyr_x: -68, gyr_y: 455, gyr_z: 102, temp: 1320
pit: -2.72, rol: 0.00, yaw: -11.97, acc_x: -26, acc_y: 1718, acc_z: 12630, gyr_x: 153, gyr_y: -14, gyr_z: -75, temp: 1320
